country;geoname_id;latitude;longitude;north;east;south;west;en;cs;ru
DZ;2507480;36.7525;3.04197;36.93505290950515;3.270352202732777;36.569950645694114;2.8135844885514025;Algiers;Alžír;Алжир
AO;2240449;-8.83682;13.23432;-8.620548139662425;13.453059596681062;-9.053085612512508;13.015579777098235;Luanda;Luanda;Луанда
BJ;2392087;6.49646;2.60359;6.559259355657866;2.66679658683023;6.433669885623595;2.54037962166587;Porto-Novo;Porto Novo;Порто-Ново
BW;933773;-24.65451;25.90859;-24.59535950533204;25.973642470324933;-24.71365248564144;25.84354579261452;Gaborone;Gaborone;Габороне
BF;2357048;12.36566;-1.53388;12.500936922881415;-1.395316275836621;12.23037902765941;-1.6724441916926758;Ouagadougou;Ouagadougou;Уагадугу
BI;425378;-3.3822;29.3644;-3.3074931426666927;29.439231505711053;-3.4569068573333075;29.289568494288947;Bujumbura;Bujumbura;Бужумбура
CM;2220957;3.86667;11.51667;4.014584199575369;11.664948043244515;3.718749200424631;11.368385356755486;Yaoundé;Jaunde;Яунде
CV;3374333;14.93152;-23.51254;14.975114403328638;-23.467413567218607;14.887917743534699;-23.55767569669741;Praia;Praia;Прая
CF;2389853;4.36122;18.55496;4.456715117689211;18.65075167915005;4.265719152407153;18.459176451953464;Bangui;Bangui;Банги
TD;2427123;12.10672;15.0444;12.216867419065935;15.157104608145971;11.99656891539778;14.931701544197779;N'Djamena;N'Djamena;Нджамена
KM;921772;-11.70216;43.25506;-11.675561077339951;43.28222775372753;-11.728768220894567;43.227896452815436;Moroni;Moroni;Морони
CD;2314302;-4.32758;15.31357;-3.9653692403924463;15.676649962259445;-4.689790759607554;14.950490037740556;Kinshasa;Kinshasa;Киншаса
CG;2260535;-4.26613;15.28318;-4.119034412166254;15.430659953193235;-4.413224347617549;15.135708149834109;Brazzaville;Brazzaville;Браззавиль
DJ;223817;11.58901;43.14503;11.691459440980763;43.24964233538318;11.486569988906139;43.040411985905884;Djibouti;Džíbútí;Джибути
EG;360630;30.06263;31.24967;30.423639881712067;31.66832151351354;29.70162294864625;30.831010914464976;Cairo;Káhira;Каир
GQ;2309527;3.75;8.78333;3.801074106953675;8.834520006182078;3.698925893046325;8.732146593817923;Malabo;Malabo;Малабо
ER;343300;15.33805;38.93184;15.435431062610029;39.0328690811038;15.240660937389972;38.830810918896205;Asmara;Asmara;Асмэра
ET;344979;9.02497;38.74689;9.240532362839579;38.9652915602093;8.809399692232114;38.52849048324773;Addis Ababa;Addis Abeba;Аддис-Абеба
GA;2399697;0.39241;9.45356;0.49103789780876644;9.552190370190603;0.29379178176942417;9.35493701018049;Libreville;Libreville;Либревиль
GM;2413876;13.45274;-16.57803;13.476530465328242;-16.553557125616045;13.428940549377558;-16.602494510126157;Banjul;Banjul;Банжул
GH;2306104;5.55602;-0.1969;5.737905289692142;-0.014098811230526614;5.3741347103078585;-0.37970118876947334;Accra;Accra;Аккра
GN;2422465;9.53795;-13.67729;9.710477850440318;-13.502255970462032;9.365421656906753;-13.852327769772343;Conakry;Konakry;Конакри
GW;2374775;11.86357;-15.59767;11.94438888798948;-15.515061348125771;11.782753227097487;-15.680274040057823;Bissau;Bissau;Бисау
CI;2279755;6.82055;-5.27674;6.877783230179782;-5.219090911091051;6.763312769820217;-5.33439108890895;Yamoussoukro;Yamoussoukro;Ямусукро
KE;184745;-1.28333;36.81667;-1.0680485668299542;37.031988842765294;-1.4986180331700458;36.601344557234704;Nairobi;Nairobi;Найроби
LS;932505;-29.31667;27.48333;-29.27215040986179;27.534366123694358;-29.361182990138207;27.432300476305645;Maseru;Maseru;Масеру
LR;2274895;6.30054;-10.7969;6.426290105725829;-10.670354288701;6.174789347536746;-10.923445302363453;Monrovia;Monrovia;Монровия
LY;2210247;32.87519;13.18746;33.01444649812398;13.35352758018939;32.73593365563442;13.021384681773409;Tripoli;Tripolis;Триполи
MG;1070940;-18.91368;47.53613;-18.760585252876876;47.697805428341134;-19.066765831954694;47.374444937869804;Antananarivo;Antananarivo;Антананариву
MW;927967;-13.96692;33.78725;-13.862615936513285;33.89467924123417;-14.071222063486717;33.67981475876583;Lilongwe;Lilongwe;Лилонгве
ML;2460596;12.65;-8;12.797849130037205;-7.848384383945911;12.502150869962795;-8.15161561605409;Bamako;Bamako;Бамако
MR;2377450;18.08581;-15.9785;18.191367512096235;-15.867389418921679;17.980256094728325;-16.08960749880293;Nouakchott;Nuakšott;Нуакшот
MU;934154;-20.16194;57.49889;-20.110870293046325;57.553279239174884;-20.213018506953674;57.44449856082511;Port Louis;Port Louis;Порт-Луи
MA;2538475;34.01325;-6.83255;34.180242895474244;-6.630697417076041;33.84626474508935;-7.034406495277478;Rabat;Rabat;Рабат
MZ;1040652;-25.96553;32.58322;-25.823826593254694;32.740641862177384;-26.107233575947426;32.425793379521835;Maputo;Maputo;Мапуту
NA;3352136;-22.55941;17.08323;-22.492257498539214;17.15590588570297;-22.626561314879932;17.01054461478531;Windhoek;Windhoek;Виндхук
NE;2440485;13.51366;2.1098;13.62787016652412;2.227317747516802;13.39945981643877;1.9922905593679634;Niamey;Niamey;Ниамей
NG;2352778;9.05785;7.49508;9.157594389803526;7.5961121125419275;8.958105610196474;7.394047887458072;Abuja;Abuja;Абуджа
RW;202061;-1.94995;30.05885;-1.8378939157263794;30.170969205205907;-2.0620144877263007;29.946733278924896;Kigali;Kigali;Кигали
ST;2410763;0.33654;6.72732;0.36636875275608766;6.7571527003289225;0.30671163594662404;6.697494363880062;São Tomé;São Tomé;Сан-Томе
SN;2253354;14.6937;-17.44406;14.897947419359456;-17.232706013819175;14.489453556549345;-17.655408915380022;Dakar;Dakar;Дакар
SC;241131;-4.61667;55.45;-4.597065496980129;55.46966446391824;-4.636267903019871;55.43033553608176;Victoria;Victoria;Виктория
SL;2409306;8.484;-13.22994;8.600226143365548;-13.11239706233407;8.367779032105412;-13.347487581220618;Freetown;Freetown;Фритаун
SO;53654;2.03711;45.34375;2.2458614802324868;45.552661951928336;1.8283585197675134;45.134838048071664;Mogadishu;Mogadišu;Могадишо
ZA;964137;-25.74486;28.18783;-25.57969590942631;28.370938169310623;-25.91002125419809;28.00471795861898;Pretoria;Pretoria;Претория
SS;373303;4.85165;31.58247;4.922746426573237;31.65383898584442;4.780544353923043;31.51111043126978;Juba;Džuba;Джуба
SD;379252;15.55177;32.53241;15.734156766718854;32.72189070275293;15.369386968234448;32.34292100379004;Khartoum;Chartúm;Хартум
SZ;934985;-26.31667;31.13333;-26.280974263036985;31.173140464839815;-26.352359136963013;31.093526135160186;Mbabane;Mbabane;Мбабане
TZ;160196;-6.17221;35.73947;-6.117139698348589;35.794859538745385;-6.227288950182666;35.6840795176511;Dodoma;Dodoma;Додома
TG;2365267;6.13748;1.21227;6.2498132341025245;1.3252748881319212;6.025151960290496;1.099270399954019;Lomé;Lomé;Ломе
TN;2464470;36.81897;10.16579;36.92699089506691;10.300909585609332;36.7109560386026;10.030663900718793;Tunis;Tunis;Тунис
UG;232422;0.31628;32.58219;0.4672465653615996;32.733154757189205;0.16532239600872442;32.43122054798659;Kampala;Kampala;Кампала
ZM;909137;-15.40669;28.28713;-15.260556140434254;28.438604692834726;-15.552815131851851;28.135663648229727;Lusaka;Lusaka;Лусака
ZW;890299;-17.82772;31.05337;-17.66651976627991;31.222547129002834;-17.988914163649497;30.884195729883885;Harare;Harare;Хараре
EH;2462881;27.1418;-13.18797;27.199211610349824;-13.123420698223713;27.084388389650176;-13.252519301776287;Laayoune;El-Ajún;Эль-Аюн
AF;1138958;34.52813;69.17233;34.75458069389847;69.4479506483526;34.30167211537161;68.89669962020209;Kabul;Kábul;Кабул
AM;616052;40.18111;44.51361;40.31683774529685;44.691618351355274;40.045384454703154;44.33560384864472;Yerevan;Jerevan;Ереван
AZ;587084;40.37767;49.89201;40.514809295232304;50.072389834547295;40.240539870006735;49.71162200627302;Baku;Baku;Баку
BH;290340;26.22787;50.58565;26.277539048660643;50.641043401008986;26.178200951339356;50.530256598991016;Manama;Manáma;Манама
BD;1185241;23.7104;90.40744;24.128140677958243;90.86517411916657;23.29265055523583;89.94970243722992;Dhaka;Dháka;Дакка
BT;1252416;27.46609;89.64191;27.506809436581538;89.68782473982786;27.42536848334024;89.5960039955237;Thimphu;Thimphu;Тхимпху
BN;1820906;4.94029;114.94806;4.9730270096613705;114.98092397402188;4.90755225844539;114.91520181943515;Bandar Seri Begawan;Bandar Seri Begawan;Бандар-Сери-Бегаван
KH;1821306;11.56245;104.91601;11.725269820746764;105.08229574350031;11.399630179253236;104.74971625649968;Phnom Penh;Phnompenh;Пномпень
CN;1816670;39.9075;116.39723;40.3518194895878;116.98026413589028;39.463175993293206;115.81419234604371;Beijing;Peking;Пекин
GE;611717;41.69411;44.83368;41.827054826951844;45.01208881659513;41.56117117304816;44.655275183404875;Tbilisi;Tbilisi;Тбилиси
IN;1261481;28.63576;77.22445;28.708824879355827;77.30775062964534;28.5626953836417;77.14114005638982;New Delhi;Nové Dillí;Нью-Дели
ID;1642911;-6.21462;106.84513;-5.8352873404513685;107.2264426273689;-6.593959053620181;106.46381921345142;Jakarta;Jakarta;Джакарта
IR;112931;35.69439;51.42151;36.04157740073707;51.85088403922026;35.34720015155074;50.99213353890474;Tehran;Teherán;Тегеран
IQ;98182;33.34058;44.40088;33.68928166357759;44.81995702328262;32.99188233642241;43.981794976717374;Baghdad;Bagdád;Багдад
IL;281184;31.76904;35.21633;31.88517662773995;35.35310617042052;31.65290356900235;35.07955679344667;Jerusalem;Jeruzalém;Иерусалим
JP;1850147;35.6895;139.69171;36.064304309607536;140.1553719940254;35.31469569039247;139.2280480059746;Tokyo;Tokio;Токио
JO;250441;31.95522;35.94503;32.10183392661994;36.11810943916708;31.808607873736705;35.77195861503214;Amman;Ammán;Амман
KZ;1526273;51.1801;71.44598;51.25640989666483;71.5679187577841;51.103782616190976;71.3240413862589;Astana;Astana;Астана
KP;1871859;39.03385;125.75432;39.26686472677512;126.05528694909093;38.800840958642034;125.45334952551845;Pyongyang;Pchjongjang;Пхеньян
KR;1835848;37.566;126.9784;37.983599817666246;127.50822333643322;37.14840018233376;126.44857666356677;Seoul;Soul;Сеул
KW;285787;29.36972;47.97833;29.401519350097562;48.01483130362799;29.337924649902437;47.941834696372005;Kuwait City;Město Kuvajt;Эль-Кувейт
KG;1528675;42.87;74.59;42.993150607385864;74.75836844925367;42.74684939261413;74.42163155074634;Bishkek;Biškek;Бишкек
LA;1651944;17.96667;102.6;18.024078610349825;102.66037438957369;17.909255389650177;102.5396256104263;Vientiane;Vientiane;Вьентьян
LB;276781;33.88894;35.49442;34.06859049387806;35.71129282717552;33.70929450766194;35.27755299801988;Beirut;Bejrút;Бейрут
MY;1735161;3.1412;101.68653;3.297688621924978;101.8432813360293;2.9847148141702418;101.52978842715468;Kuala Lumpur;Kuala Lumpur;Куала-Лумпур
MV;1282027;4.1748;73.50888;4.216498223835893;73.55069276666563;4.133094556432668;73.46706274175716;Malé;Male;Мале
MN;2028462;47.90771;106.88324;48.02702680251023;107.06164556648912;47.78839833527237;106.70483392569889;Ulan Bator;Ulánbátar;Улан-Батор
MM;6611854;19.745;96.12972;19.86978181233643;96.26240262129228;19.62021818766357;95.99704137870772;Naypyitaw;Neipyijto;Нейпьидо
NP;1283240;27.70169;85.3206;27.8575313245272;85.49686330253962;27.545852407763945;85.14433008735296;Kathmandu;Káthmándú;Катманду
OM;287286;23.58413;58.40778;23.70000505842687;58.53432777659015;23.468254941573125;58.28123222340985;Muscat;Maskat;Маскат
PK;1176615;33.72148;73.04329;33.82213668761659;73.16444500254507;33.62083158422901;72.92213336659553;Islamabad;Islámábád;Исламабад
PH;1701668;14.6042;120.9822;14.768380283457631;121.15198941152241;14.44001971654237;120.8124105884776;Manila;Manila;Манила
QA;290030;25.27932;51.52245;25.35549654772201;51.60674768122061;25.203134475581397;51.438143676201264;Doha;Dauhá;Доха
SA;108410;24.68773;46.72185;24.953919964811387;47.015445061495065;24.42154457526411;46.428253821561576;Riyadh;Rijád;Эр-Рияд
SG;1880252;1.28967;103.85007;1.5341571734579755;104.09464505039922;1.0451805052966843;103.60549304164279;Singapore;Singapur;Сингапур
LK;1248991;6.93194;79.84778;7.0364411555039394;79.95306755181251;6.82744764449606;79.7424880481875;Colombo;Kolombo;Коломбо
SY;170654;33.5102;36.29128;33.67276938752966;36.486622037643045;33.34762690606036;36.09592801118508;Damascus;Damašek;Дамаск
TJ;1221874;38.53575;68.77905;38.64272872700243;68.91602115734715;38.42876303744517;68.64207668200832;Dushanbe;Dušanbe;Душанбе
TH;1609350;13.75398;100.50144;14.047239531812492;100.80374454913354;13.460718468187507;100.19914345086647;Bangkok;Bangkok;Бангкок
TL;1645457;-8.55861;125.57361;-8.508335075065133;125.6244466028074;-8.608887124934867;125.52277559719259;Dili;Dili;Дили
TR;323786;39.91987;32.85427;40.16328511547819;33.172784064979666;39.67646363552721;32.535757805137536;Ankara;Ankara;Анкара
TM;162183;37.95;58.38333;38.060698628069204;58.52392832972728;37.8393013719308;58.24273827027271;Ashgabat;Ašchabad;Ашхабад
AE;292968;24.46667;54.36667;24.56741965326658;54.47744842924988;24.365913746733423;54.255884970750124;Abu Dhabi;Abú Zabí;Абу-Даби
UZ;1512569;41.26465;69.21627;41.44719756791271;69.45981288070588;41.08209530408837;68.9727280128488;Tashkent;Taškent;Ташкент
VN;1581130;21.0245;105.84117;21.179759220233763;106.00767072773256;20.8692503223147;105.67466798686705;Hanoi;Hanoj;Ханой
YE;71137;15.35472;44.20667;15.535380205344076;44.39417579399228;15.174063794655925;44.019158206007724;Sanaa;Saná;Сана
PS;7303419;31.78336;35.23388;31.86820552099981;35.33378899440909;31.69851369574119;35.13397872104511;East Jerusalem;Východní Jeruzalém;Восточный Иерусалим
